time,Real Lower Band,Real Middle Band,Real Upper Band
2020-05-01,127.8195,164.0762,200.3329
2020-04-30,127.5459,163.8480,200.1501
2020-04-29,127.3161,163.5552,199.7943
2020-04-28,127.0556,163.2794,199.5032
2020-04-27,126.6669,163.0744,199.4819
2020-04-24,126.3522,162.8294,199.3066
2020-04-23,126.1348,162.5977,199.0606
2020-04-22,125.9140,162.4067,198.8994
2020-04-21,125.7244,162.1918,198.6592
2020-04-20,125.4528,162.0259,198.5990
2020-04-17,125.2249,161.7712,198.3175
2020-04-16,125.1072,161.4800,197.8528
2020-04-15,124.9681,161.2058,197.4435
2020-04-14,124.7551,160.9909,197.2267
2020-04-13,124.5881,160.7573,196.9265
2020-04-09,124.3192,160.6019,196.8846
2020-04-08,123.9828,160.4311,196.8794
2020-04-07,123.6237,160.2529,196.8821
2020-04-06,123.2627,160.0887,196.9147
2020-04-03,122.8702,159.8971,196.9240
2020-04-02,122.6014,159.8184,197.0354
2020-04-01,122.2262,159.7084,197.1906
2020-03-31,121.9225,159.6279,197.3333
2020-03-30,121.5229,159.4954,197.4679
2020-03-27,121.1058,159.3386,197.5714
2020-03-26,120.8691,159.2788,197.6885
2020-03-25,120.4599,159.1514,197.8429
2020-03-24,120.3650,159.1283,197.8916
2020-03-23,120.1373,159.0732,198.0091
2020-03-20,120.5822,159.1553,197.7284
2020-03-19,120.7751,159.1891,197.6031
2020-03-18,120.6318,159.1614,197.6910
2020-03-17,120.4504,159.1298,197.8092
2020-03-16,119.9327,159.0278,198.1229
2020-03-13,120.1164,159.0579,197.9994
2020-03-12,119.3697,158.8437,198.3177
2020-03-11,119.4040,158.8500,198.2960
2020-03-10,118.9185,158.7178,198.5171
2020-03-09,118.4038,158.5244,198.6449
2020-03-06,117.9621,158.4137,198.8652
2020-03-05,117.3709,158.1948,199.0186
2020-03-04,116.7786,157.9231,199.0675
2020-03-03,116.2182,157.6000,198.9817
2020-03-02,115.4704,157.3116,199.1527
2020-02-28,114.9469,156.9549,198.9628
2020-02-27,114.3629,156.7160,199.0690
2020-02-26,113.7097,156.4970,199.2842
2020-02-25,113.0635,156.1418,199.2200
2020-02-24,112.5327,155.8318,199.1308
2020-02-21,112.1670,155.5132,198.8593
2020-02-20,112.0009,155.1046,198.2082
2020-02-19,112.2227,154.6558,197.0888
2020-02-18,112.6583,154.1766,195.6948
2020-02-14,113.0752,153.6781,194.2809
2020-02-13,113.5245,153.2160,192.9074
2020-02-12,113.9527,152.7733,191.5938
2020-02-11,114.5764,152.3369,190.0973
2020-02-10,115.1573,151.8777,188.5980
2020-02-07,116.1101,151.3646,186.6190
2020-02-06,116.7426,150.8890,185.0353
2020-02-05,117.4997,150.4259,183.3520
2020-02-04,118.0752,150.0021,181.9289
2020-02-03,118.6867,149.5621,180.4374
2020-01-31,118.9650,149.1791,179.3931
2020-01-30,119.1151,148.8520,178.5888
2020-01-29,119.5274,148.5152,177.5029
2020-01-28,119.7445,148.2353,176.7260
2020-01-27,119.7711,147.9570,176.1428
2020-01-24,119.6207,147.6946,175.7684
2020-01-23,119.6900,147.4228,175.1555
2020-01-22,119.8853,147.1368,174.3882
2020-01-21,119.9490,146.8354,173.7217
2020-01-17,120.1024,146.5278,172.9531
2020-01-16,120.3201,146.2113,172.1024
2020-01-15,120.4212,145.8835,171.3457
2020-01-14,120.5948,145.6295,170.6641
2020-01-13,120.7800,145.3961,170.0121
2020-01-10,121.0006,145.1359,169.2711
2020-01-09,121.1900,144.9066,168.6231
2020-01-08,121.3611,144.6470,167.9328
2020-01-07,121.3402,144.3829,167.4255
2020-01-06,121.2443,144.1469,167.0494
2020-01-03,121.4263,143.9426,166.4588
2020-01-02,121.5082,143.7143,165.9203
2019-12-31,121.8020,143.4852,165.1683
2019-12-30,122.0003,143.2971,164.5938
2019-12-27,122.0858,143.0740,164.0621
2019-12-26,122.2500,142.8313,163.4125
2019-12-24,122.3051,142.5667,162.8282
2019-12-23,122.5302,142.3619,162.1935
2019-12-20,122.8230,142.1684,161.5137
2019-12-19,123.0873,141.9570,160.8266
2019-12-18,123.3897,141.8034,160.2170
2019-12-17,123.6493,141.6700,159.6906
2019-12-16,123.9485,141.5365,159.1244
2019-12-13,124.3049,141.3831,158.4612
2019-12-12,124.6325,141.2450,157.8574
2019-12-11,124.8822,141.1055,157.3287
2019-12-10,125.0486,140.9728,156.8969
2019-12-09,125.1494,140.8277,156.5059
2019-12-06,125.2714,140.6783,156.0851
2019-12-05,125.4280,140.5235,155.6189
2019-12-04,125.5347,140.3950,155.2552
2019-12-03,125.6952,140.2855,154.8757
2019-12-02,125.8419,140.1814,154.5208
2019-11-29,126.0023,140.0699,154.1374
2019-11-27,126.2722,139.9346,153.5969
2019-11-26,126.5958,139.7760,152.9561
2019-11-25,126.9481,139.6253,152.3024
2019-11-22,127.2769,139.4836,151.6902
2019-11-21,127.5282,139.3623,151.1963
2019-11-20,127.7712,139.2333,150.6953
2019-11-19,128.0200,139.0939,150.1677
2019-11-18,128.2865,138.9296,149.5726
2019-11-15,128.6002,138.7677,148.9351
2019-11-14,128.9141,138.6073,148.3004
2019-11-13,129.0729,138.4610,147.8490
2019-11-12,129.3630,138.3657,147.3683
2019-11-11,129.6442,138.2647,146.8851
2019-11-08,129.8753,138.1731,146.4708
2019-11-07,130.0794,138.0704,146.0613
2019-11-06,130.1630,137.9794,145.7957
2019-11-05,130.1198,137.8673,145.6147
2019-11-04,130.0906,137.7472,145.4037
2019-11-01,130.0768,137.6249,145.1729
2019-10-31,129.9605,137.5026,145.0446
2019-10-30,129.8867,137.3899,144.8930
2019-10-29,129.9527,137.2698,144.5868
2019-10-28,129.8246,137.1555,144.4863
2019-10-25,129.4492,136.9918,144.5343
2019-10-24,128.6791,136.8428,145.0064
2019-10-23,127.5988,136.6750,145.7511
2019-10-22,126.1287,136.5010,146.8732
2019-10-21,125.3182,136.3741,147.4299
2019-10-18,124.7622,136.2471,147.7319
2019-10-17,124.1580,136.1224,148.0867
2019-10-16,123.7083,135.9871,148.2658
2019-10-15,123.3003,135.8454,148.3904
2019-10-14,122.9392,135.6914,148.4436
2019-10-11,122.6520,135.5726,148.4932
2019-10-10,122.3282,135.4448,148.5614
2019-10-09,121.9611,135.3160,148.6709
2019-10-08,121.7156,135.2143,148.7130
2019-10-07,121.5194,135.1469,148.7744
2019-10-04,121.1526,135.0359,148.9192
2019-10-03,120.7144,134.9020,149.0896
2019-10-02,120.1790,134.7727,149.3664
2019-10-01,119.9265,134.6975,149.4685
2019-09-30,119.5762,134.5818,149.5874
2019-09-27,119.2601,134.4466,149.6331
2019-09-26,118.9396,134.3245,149.7094
2019-09-25,118.7975,134.2106,149.6237
2019-09-24,118.6912,134.1060,149.5208
2019-09-23,118.4331,133.9943,149.5555
2019-09-20,118.2927,133.8817,149.4707
2019-09-19,118.2647,133.7933,149.3219
2019-09-18,118.2624,133.6803,149.0982
2019-09-17,118.2047,133.5940,148.9833
2019-09-16,118.1087,133.5116,148.9145
2019-09-13,117.8124,133.3984,148.9844
2019-09-12,117.5598,133.2796,148.9994
2019-09-11,117.2209,133.1420,149.0631
2019-09-10,116.8550,133.0145,149.1740
2019-09-09,116.3947,132.8714,149.3481
2019-09-06,115.8973,132.7039,149.5105
2019-09-05,115.4732,132.5234,149.5736
2019-09-04,115.0889,132.3324,149.5759
2019-09-03,114.6235,132.1594,149.6953
2019-08-30,114.1453,132.0009,149.8565
2019-08-29,113.6496,131.8151,149.9806
2019-08-28,113.2261,131.6332,150.0403
2019-08-27,112.7782,131.4765,150.1748
2019-08-26,112.3137,131.3127,150.3117
2019-08-23,111.9022,131.1579,150.4136
2019-08-22,111.4444,131.0159,150.5874
2019-08-21,111.0404,130.8283,150.6162
