time,vwap
2020-05-04 16:00,177.1439
2020-05-04 15:59,177.1011
2020-05-04 15:58,177.0857
2020-05-04 15:57,177.0736
2020-05-04 15:56,177.0605
2020-05-04 15:55,177.0488
2020-05-04 15:54,177.0396
2020-05-04 15:53,177.0347
2020-05-04 15:52,177.0300
2020-05-04 15:51,177.0210
2020-05-04 15:50,177.0109
2020-05-04 15:49,177.0056
2020-05-04 15:48,176.9980
2020-05-04 15:47,176.9917
2020-05-04 15:46,176.9872
2020-05-04 15:45,176.9820
2020-05-04 15:44,176.9768
2020-05-04 15:43,176.9718
2020-05-04 15:42,176.9644
2020-05-04 15:41,176.9601
2020-05-04 15:40,176.9570
2020-05-04 15:39,176.9535
2020-05-04 15:38,176.9496
2020-05-04 15:37,176.9469
2020-05-04 15:36,176.9422
2020-05-04 15:35,176.9379
2020-05-04 15:34,176.9333
2020-05-04 15:33,176.9286
2020-05-04 15:32,176.9258
2020-05-04 15:31,176.9223
2020-05-04 15:30,176.9150
2020-05-04 15:29,176.9091
2020-05-04 15:28,176.9037
2020-05-04 15:27,176.9003
2020-05-04 15:26,176.8976
2020-05-04 15:25,176.8932
2020-05-04 15:24,176.8876
2020-05-04 15:23,176.8842
2020-05-04 15:22,176.8787
2020-05-04 15:21,176.8739
2020-05-04 15:20,176.8689
2020-05-04 15:19,176.8655
2020-05-04 15:18,176.8609
2020-05-04 15:17,176.8529
2020-05-04 15:16,176.8483
2020-05-04 15:15,176.8437
2020-05-04 15:14,176.8407
2020-05-04 15:13,176.8357
2020-05-04 15:12,176.8297
2020-05-04 15:11,176.8237
2020-05-04 15:10,176.8173
2020-05-04 15:09,176.8115
2020-05-04 15:08,176.8075
2020-05-04 15:07,176.8051
2020-05-04 15:06,176.8031
2020-05-04 15:05,176.7990
2020-05-04 15:04,176.7967
2020-05-04 15:03,176.7934
2020-05-04 15:02,176.7915
2020-05-04 15:01,176.7892
2020-05-04 15:00,176.7846
2020-05-04 14:59,176.7763
2020-05-04 14:58,176.7689
2020-05-04 14:57,176.7657
2020-05-04 14:56,176.7618
2020-05-04 14:55,176.7574
2020-05-04 14:54,176.7545
2020-05-04 14:53,176.7520
2020-05-04 14:52,176.7479
2020-05-04 14:51,176.7436
2020-05-04 14:50,176.7360
2020-05-04 14:49,176.7321
2020-05-04 14:48,176.7302
2020-05-04 14:47,176.7274
2020-05-04 14:46,176.7252
2020-05-04 14:45,176.7232
2020-05-04 14:44,176.7224
2020-05-04 14:43,176.7213
2020-05-04 14:42,176.7202
2020-05-04 14:41,176.7191
2020-05-04 14:40,176.7185
2020-05-04 14:39,176.7177
2020-05-04 14:38,176.7167
2020-05-04 14:37,176.7157
2020-05-04 14:36,176.7148
2020-05-04 14:35,176.7135
2020-05-04 14:34,176.7119
2020-05-04 14:33,176.7109
2020-05-04 14:32,176.7091
2020-05-04 14:31,176.7071
2020-05-04 14:30,176.7060
2020-05-04 14:29,176.7039
2020-05-04 14:28,176.7030
2020-05-04 14:27,176.7021
2020-05-04 14:26,176.7012
2020-05-04 14:25,176.6999
2020-05-04 14:24,176.6985
2020-05-04 14:23,176.6974
2020-05-04 14:22,176.6960
2020-05-04 14:21,176.6947
2020-05-04 14:20,176.6931
2020-05-04 14:19,176.6904
2020-05-04 14:18,176.6886
2020-05-04 14:17,176.6876
2020-05-04 14:16,176.6852
2020-05-04 14:15,176.6835
2020-05-04 14:14,176.6807
2020-05-04 14:13,176.6790
2020-05-04 14:12,176.6758
2020-05-04 14:11,176.6729
2020-05-04 14:10,176.6717
2020-05-04 14:09,176.6700
2020-05-04 14:08,176.6690
2020-05-04 14:07,176.6669
2020-05-04 14:06,176.6648
2020-05-04 14:05,176.6639
2020-05-04 14:04,176.6621
2020-05-04 14:03,176.6603
2020-05-04 14:02,176.6588
2020-05-04 14:01,176.6565
2020-05-04 14:00,176.6524
2020-05-04 13:59,176.6487
2020-05-04 13:58,176.6453
2020-05-04 13:57,176.6429
2020-05-04 13:56,176.6407
2020-05-04 13:55,176.6360
2020-05-04 13:54,176.6333
2020-05-04 13:53,176.6318
2020-05-04 13:52,176.6301
2020-05-04 13:51,176.6289
2020-05-04 13:50,176.6275
2020-05-04 13:49,176.6261
2020-05-04 13:48,176.6246
2020-05-04 13:47,176.6233
2020-05-04 13:46,176.6227
2020-05-04 13:45,176.6224
2020-05-04 13:44,176.6219
2020-05-04 13:43,176.6212
2020-05-04 13:42,176.6208
2020-05-04 13:41,176.6201
2020-05-04 13:40,176.6190
2020-05-04 13:39,176.6180
2020-05-04 13:38,176.6162
2020-05-04 13:37,176.6151
2020-05-04 13:36,176.6142
2020-05-04 13:35,176.6136
2020-05-04 13:34,176.6129
2020-05-04 13:33,176.6119
2020-05-04 13:32,176.6105
2020-05-04 13:31,176.6097
2020-05-04 13:30,176.6091
2020-05-04 13:29,176.6089
